IDCode,narrative_text
zuha759,Accuracy low (29.82%); speed slow (22.42s); timing highly variable (var=372.29); correct streak short (4); incorrect streak long (22); consecutive correct rare (0.16).
qafu966,Accuracy low (26.32%); speed slow (27.13s); timing highly variable (var=1397.45); correct streak short (5); incorrect streak long (31); consecutive correct rare (0.16).
lobo127,Accuracy medium (68.42%); speed slow (22.05s); timing highly variable (var=350.12); correct streak long (20); incorrect streak long (6); consecutive correct occasional (0.57).
homa046,Accuracy low (35.09%); speed slow (33.09s); timing highly variable (var=1410.61); correct streak short (7); incorrect streak long (10); consecutive correct rare (0.20).
keno764,Accuracy low (54.39%); speed moderate (15.68s); timing stable (var=31.89); correct streak short (7); incorrect streak long (8); consecutive correct rare (0.34).
habe142,Accuracy medium (77.19%); speed slow (19.81s); timing moderately variable (var=248.16); correct streak moderate (15); incorrect streak moderate (4); consecutive correct occasional (0.64).
joti731,Accuracy high (87.72%); speed fast (12.34s); timing stable (var=114.39); correct streak long (24); incorrect streak short (2); consecutive correct frequent (0.79).
reve265,Accuracy medium (70.18%); speed fast (14.44s); timing stable (var=137.15); correct streak short (11); incorrect streak long (5); consecutive correct occasional (0.54).
cyca115,Accuracy high (87.72%); speed fast (13.74s); timing moderately variable (var=179.44); correct streak long (29); incorrect streak short (2); consecutive correct frequent (0.80).
rawo522,Accuracy high (85.96%); speed moderate (18.31s); timing moderately variable (var=280.86); correct streak long (37); incorrect streak short (3); consecutive correct frequent (0.79).
pogi169,Accuracy high (87.72%); speed slow (29.18s); timing highly variable (var=580.71); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.80).
vepi727,Accuracy medium (70.18%); speed slow (25.04s); timing moderately variable (var=233.71); correct streak moderate (15); incorrect streak long (5); consecutive correct occasional (0.54).
risy585,Accuracy medium (63.16%); speed moderate (14.81s); timing stable (var=80.42); correct streak moderate (14); incorrect streak short (3); consecutive correct rare (0.46).
fefu774,Accuracy medium (78.95%); speed fast (13.75s); timing stable (var=136.36); correct streak short (11); incorrect streak short (3); consecutive correct occasional (0.64).
wyxo615,Accuracy medium (82.46%); speed moderate (15.37s); timing moderately variable (var=310.98); correct streak moderate (13); incorrect streak short (2); consecutive correct frequent (0.70).
