K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
55,spherical,-21539.64626013441,-23892.659214019775,inf,0.04075923189520836,24.973384507906122,1.3396425654465354
56,full,-12954.313201055216,-23750.742401123047,inf,0.081029511988163,24.272134295011373,1.6357253610881968
56,diag,-19671.3943979375,-23747.37858581543,inf,0.05757037550210953,22.912337465404075,1.5284439636590181
56,tied,-21433.51176094644,-23743.66473388672,inf,0.10170559585094452,25.98713807452702,1.4163308521427216
56,spherical,-21475.778420912953,-23871.65135574341,inf,0.08341410756111145,26.198926398555553,1.312719977784267
57,full,-12721.623157407786,-23710.922271728516,inf,0.09414836764335632,25.082728695507605,1.5320701797817025
57,diag,-19642.528779665565,-23791.374935150146,inf,0.04167671501636505,20.66519529535069,1.57362081581395
57,tied,-21410.25241051163,-23758.97936630249,inf,0.09136955440044403,24.31710719494645,1.3967999214214815
57,spherical,-21545.259245021574,-23983.99216079712,inf,0.07455310225486755,25.573892570065542,1.258325864476149
58,full,-12628.119980520609,-23810.28900909424,inf,0.08970700204372406,24.616725122349678,1.5628330782231126
58,diag,-19494.111094590655,-23715.819217681885,inf,0.06180758774280548,22.539411990454656,1.5432362824698755
58,tied,-21344.656866992107,-23731.957805633545,inf,0.09065193682909012,24.588442872327363,1.3962137844203004
58,spherical,-21430.435156563057,-23912.02805328369,inf,0.07985240966081619,26.484391512864622,1.3253216360417845
59,full,-12376.934098707898,-23751.973041534424,inf,0.08609279990196228,24.800582135590176,1.5297256316721837
59,diag,-19501.40341622961,-23795.97350692749,inf,0.05806712806224823,21.883905995927844,1.510450089147872
59,tied,-21323.613985368334,-23749.48890686035,inf,0.10206294059753418,25.34885459954111,1.3255625673968354
59,spherical,-21386.548312519826,-23911.001190185547,inf,0.08289334177970886,25.816981158133352,1.310010466428058
60,full,-12083.336229590495,-23651.245086669922,inf,0.09024424105882645,24.130152732429774,1.4714356793530583
60,diag,-19381.728128463044,-23749.160186767578,inf,0.058218106627464294,21.56748951321918,1.5313543882854366
60,tied,-21281.56586235052,-23746.014766693115,inf,0.10804792493581772,25.39134481159934,1.3304619720990032
60,spherical,-21370.705329865752,-23938.018188476562,inf,0.07959476858377457,25.20185306461367,1.3085251229318964
61,full,-11959.20809085029,-23719.986862182617,inf,0.08698725700378418,23.683025251286765,1.4978680130479918
61,diag,-19289.863173948434,-23730.15719985962,inf,0.06175871193408966,21.763741824250552,1.4973327661823979
61,tied,-21224.895600355652,-23727.918487548828,inf,0.10835524648427963,24.9850317602986,1.337715614702764
61,spherical,-21288.98692759498,-23899.15976715088,inf,0.09496469050645828,25.740454411936625,1.3037326612120652
62,full,-11748.410285819806,-23702.05897140503,inf,0.09356211125850677,24.55886111872766,1.4899580681584874
62,diag,-19270.441105786365,-23783.5970993042,inf,0.0681862160563469,22.155239437829774,1.5222667374486059
62,tied,-21176.054676434513,-23717.65154647827,inf,0.09692293405532837,24.194560441776293,1.3680704619667259
62,spherical,-21285.385735712392,-23938.41855621338,inf,0.09497765451669693,25.169449743364858,1.3063037224970842
63,full,-11555.32169786085,-23701.840297698975,inf,0.09382490813732147,24.37325911643606,1.5310739777552935
63,diag,-19158.62998046487,-23744.647941589355,inf,0.04760589823126793,20.56449634537078,1.474510073019153
63,tied,-21143.165363078562,-23723.3362159729,inf,0.10703054815530777,25.512229774025876,1.3602144100115894
63,spherical,-21215.09177573288,-23910.984577178955,inf,0.07784266024827957,24.9206197163738,1.312827718200297
64,full,-11382.296044777388,-23721.68455886841,inf,0.08573228865861893,23.284817780453963,1.4883796421347104
